symbol,Total Asset,Total Liabilities,Paid-up Cap,Equity,Revenue,Expenses,EBITDA,EBIT,Net Profit,EPS,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Net Cash Flow,Return on Equity,Return on Asset,Gross Profit Margin,Net Profit Margin,EBIT Margin,D/E,Int. Coverage,Current Ratio,Quick Ratio,Fixed Asset,Total Asset.1,Inventory Turnover,Average Sale Period,Accounts Receivable Turnover,Average Collection Period,Account Payable Turnover,Average Payment Period,Cash Cycle,result
2S,1766506,388841,449999,1379550,5413940,5233808,212118,169895,133382,0.3,333629,-31320,-232542,69767,9.9,9.38,7.53,2.46,3.14,0.28,14.89,3.39,1.37,9.74,2.99,8.39,43.5,15.35,23.78,205.6,1.78,65.49,0
A5,1751153.8,1205497.71,1123000,534444.16,513424.9,445518.02,70614.77,67906.88,43411.97,0.04,37560.92,-125.18,-104234.92,-66799.18,8.55,4,28.01,8.75,13.23,2.21,6.63,2.3,0.07,81.2,0.3,0.31,1181.46,23.46,15.56,1.99,183.76,1013.25,0
ABICO,1684551.09,826137.43,235000,858413.66,1243841.99,1078689.97,181444.42,105044.8,57617.71,0.25,122695.33,-187929.79,59626.25,-5608.21,6.9,6.79,16.19,4.63,8.45,0.96,5.22,0.98,0.72,1.57,0.8,8.53,42.77,5.54,65.94,6.26,58.33,50.38,0
ABM,714955.94,501168.81,150000,224472.36,1329868.15,1343148.73,7284.58,-11147.08,-15656.35,-0.05,-53703.75,-36476.24,92828.5,2648.51,-6.69,-1.64,20.03,-1.68,-0.84,2.34,-0.88,0.89,0.45,4.81,1.95,7.23,50.47,9.15,39.89,26.31,13.87,76.49,0
ACAP,4315532.12,3137803.78,158205.58,1094193.22,342894.02,340802.89,11048.73,2091.13,-190530.2,-0.6,248966.89,1379.54,-158803.25,91543.18,-17.41,0.05,7.39,-54.6,0.61,2.66,0.01,0.26,0.05,-,0.08,,-,,-,,-,-,1
ADB,1253647.89,672239.65,300000,581408.24,1370503.29,1358546.59,62224.79,17514.81,3263.14,0.01,111339.37,-51800.71,-40707.02,18831.64,0.56,1.4,13.44,0.24,1.28,1.16,1.25,1.28,0.8,2.54,1.09,4.17,87.55,3.61,101.24,4.91,74.28,114.51,0
AF,2556464.78,2028086.13,400000,528378.65,230605.83,127080.6,108478.59,103525.23,42158.88,0.03,18220.95,-135.91,-68056.6,-49971.57,7.98,4.05,75.6,18.28,44.89,3.84,1.89,1.24,0.03,-,0.09,,-,,-,,-,-,0
AIE,2326388.9,643098.32,1308072.98,1683290.58,1997193.37,2145578.68,-61777.31,-148385.3,-156496.22,-0.03,-227698.1,-57652.53,289851.94,4501.31,-8.88,-6.9,-3.31,-7.84,-7.43,0.38,-40.04,1.2,0.69,1.34,0.93,7.62,47.91,8.49,43.01,8.82,41.37,49.54,0
AIRA,9064208.52,4425856.29,1578719.63,3829429.06,775754.29,733640.36,6706.2,-57621.68,-164960.13,-0.03,-89373.89,-881594.99,1000901.42,29932.54,-4.31,-0.64,77.29,-22.34,-7.43,0.95,-0.53,1.44,0.17,-,0.09,,-,,-,,-,-,1
AKP,631252.78,97757.99,202000,533494.79,432917.31,397449.9,77396.33,39830.34,31298.61,0.08,61622.5,-226148.86,-29087.28,-193613.64,5.89,6.27,21.44,7.23,9.2,0.18,80.92,4.06,3.92,14.23,0.68,,-,3.27,111.78,4.97,73.44,38.34,0
ALL,7631619.86,5651597.95,560000,1980004.79,2918216.96,2161675.09,744980.42,695907.86,501091.31,0.98,354197.22,-602902.97,351669.75,102964,36.41,10.2,33.9,17.17,23.85,2.85,11.44,1.3,0.18,35.87,0.43,0.39,944.72,17.41,20.96,3.52,103.67,862.01,0
ALPHAX,987986.12,410957.04,301612.26,471949.5,1808489.53,1837532.73,-22403.36,-29043.21,-30.06,-,23309.28,-81448.92,-9235.84,-67375.48,-0.01,-3.65,3.82,-0.29,-1.61,0.71,90.8,4.08,0.6,284.69,2.28,4.33,84.22,16.14,22.62,51.21,7.13,99.71,0
AMA,3397041.08,1328974.3,258958.39,2068064.64,1909332.78,1636638.37,539418.72,269764.73,180519.63,0.35,465084.04,-115004.8,-508125.47,-158046.23,8.76,7.64,21.59,9.45,14.13,0.64,4.31,0.51,0.39,0.61,0.54,21.83,16.72,13.32,27.41,11.73,31.12,13.01,0
APP,615451.96,292020.76,140000,323933.12,734973.54,662765.76,85122.23,72207.78,57482.1,0.28,86381.04,-26593.62,178349.72,238137.15,27.58,14.52,47.69,7.84,9.82,0.9,10572.15,1.99,1.64,8.9,1.48,15.19,24.03,9.64,37.85,4.4,82.91,-21.03,0
